PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,CondicionOff.started,Off.stopped,On.started,CondicionOn.started,On.stopped,FInalizacion.started,FinPrueba.started,FInalizacion.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,3,3,3,0,1,1,1,12.34158059999936,,,,,,,,,,,,,,,12.315511299999343,12.34158059999936,12.415010599999732,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,3,3,3,0,2,2,2,12.441191500000059,,,,,,,,,,,,,,,12.415308699999514,12.441191500000059,12.515359199998784,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,3,3,3,0,3,3,3,12.541275899999164,,,,,,,,,,,,,,,12.515698199998951,12.541275899999164,12.628720099999555,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,3,3,3,0,4,4,4,12.65755849999914,,,,,,,,,,,,,,,12.629217899999276,12.65755849999914,12.714219800000137,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,3,3,3,0,5,5,5,12.74123039999904,,,,,,,,,,,,,,,12.714565099999163,12.74123039999904,12.81461390000004,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,3,3,3,0,6,6,6,12.84089060000042,,,,,,,,,,,,,,,12.814924799999062,12.84089060000042,12.91409349999958,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,3,3,3,0,7,7,7,12.940684400000464,,,,,,,,,,,,,,,12.914393299999574,12.940684400000464,13.013736099999733,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,3,3,3,0,8,8,8,13.04046229999949,,,,,,,,,,,,,,,13.014027199998964,13.04046229999949,13.113705800000389,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,0,3,3,3,0,9,9,9,13.140439799999513,,,,,,,,,,,,,,,13.114017099998819,13.140439799999513,13.213948200000232,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
None,21,white,0,3,3,3,0,10,10,10,13.240165600000182,,,,,,,,,,,,,,,13.2143245999996,13.240165600000182,13.313204000000042,,,,179138,001,2024-04-28_12h03.37.591,ArchivoPrueba,2024.1.1,None,2024-04-28 12h03.52.743242 -0500,
